id,repo,commit,source,target,repo_id,lib_pair_id,total_tests,premig_passed_tests,llmmig_has_result,llmmig_passed_tests,llmmig_correctness,llmmig_abs_improvement,llmmig_rel_improvement,merge_skipped_has_result,merge_skipped_passed_tests,merge_skipped_correctness,merge_skipped_abs_improvement,merge_skipped_rel_improvement,async_transform_has_result,async_transform_passed_tests,async_transform_correctness,async_transform_abs_improvement,async_transform_rel_improvement,overall_correctness,best_round,manual_edit_has_result,manual_edit_passed_tests,manual_edit_correctness,manual_edit_abs_improvement,manual_edit_rel_improvement,premig_to_best_migloc,best_to_manual_edit_migloc,dev_effort_saving
bellshade@openseries__59b7a6d7__colorama__rich,bellshade/openseries,59b7a6d7,colorama,rich,bellshade@openseries__59b7a6d7,colorama__rich,186,186,True,186,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,6,0,
lmcinnes@glasbey__37cd1125__matplotlib__seaborn,lmcinnes/glasbey,37cd1125,matplotlib,seaborn,lmcinnes@glasbey__37cd1125,matplotlib__seaborn,92,92,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1.0,-1,-1.0,7,0,
bormando@selenium-tools__52667925__urllib3__requests,bormando/selenium-tools,52667925,urllib3,requests,bormando@selenium-tools__52667925,urllib3__requests,10,9,True,10,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,25,0,
getpatchwork@git-pw__02c38bef__requests__httpx,getpatchwork/git-pw,02c38bef,requests,httpx,getpatchwork@git-pw__02c38bef,requests__httpx,84,83,True,0,0.0,-1,-1,True,83,1.0,83,1.0,False,-1,1.0,-1,-1.0,1.0,merge_skipped,,-1,-1.0,-1,-1.0,97,0,
irahorecka@comics__47a0b5c2__requests__pycurl,irahorecka/comics,47a0b5c2,requests,pycurl,irahorecka@comics__47a0b5c2,requests__pycurl,18,9,True,9,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,122,0,
authomize@connectors-rest-api-client__3fa115d3__requests__urllib3,authomize/connectors-rest-api-client,3fa115d3,requests,urllib3,authomize@connectors-rest-api-client__3fa115d3,requests__urllib3,1,1,True,1,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,62,0,
osmlab@maproulette-python-client__a610f25a__requests__requests_futures,osmlab/maproulette-python-client,a610f25a,requests,requests_futures,osmlab@maproulette-python-client__a610f25a,requests__requests_futures,68,68,True,1,0.014705882352941176,-1,-1,True,4,0.058823529411764705,3,3.0,False,-1,0.058823529411764705,-1,-1.0,0.058823529411764705,merge_skipped,,-1,-1.0,-1,-1.0,64,0,
hwonyo@naver_talk_sdk__bf64ca59__requests__requests_futures,hwonyo/naver_talk_sdk,bf64ca59,requests,requests_futures,hwonyo@naver_talk_sdk__bf64ca59,requests__requests_futures,60,60,True,39,0.65,-1,-1,False,-1,0.65,-1,-1.0,False,-1,0.65,-1,-1.0,0.65,llmmig,,-1,-1.0,-1,-1.0,12,0,
raphaelauv@fastapi-aiohttp-example__99c2d449__httpx__aiohttp,raphaelauv/fastapi-aiohttp-example,99c2d449,httpx,aiohttp,raphaelauv@fastapi-aiohttp-example__99c2d449,httpx__aiohttp,4,4,True,3,0.75,-1,-1,False,-1,0.75,-1,-1.0,True,3,0.75,0,0.0,0.75,llmmig,,-1,-1.0,-1,-1.0,20,0,
aeroflorian@msteamsadaptivecard__417a13db__requests__aiohttp,aeroflorian/msteamsadaptivecard,417a13db,requests,aiohttp,aeroflorian@msteamsadaptivecard__417a13db,requests__aiohttp,5,5,True,5,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,34,0,
segmentio@analytics-python__603632f3__requests__treq,segmentio/analytics-python,603632f3,requests,treq,segmentio@analytics-python__603632f3,requests__treq,79,78,True,0,0.0,-1,-1,True,0,0.0,0,0.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1.0,-1,-1.0,726,0,
aeroflorian@msteamsadaptivecard__417a13db__requests__pycurl,aeroflorian/msteamsadaptivecard,417a13db,requests,pycurl,aeroflorian@msteamsadaptivecard__417a13db,requests__pycurl,5,5,True,5,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1.0,-1,-1.0,41,0,
avast@ep-stats__95f8d93e__fastapi__sanic,avast/ep-stats,95f8d93e,fastapi,sanic,avast@ep-stats__95f8d93e,fastapi__sanic,147,147,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,True,0,0.0,0,0.0,106,0,
saleweaver@rapid-rest-client__79aa8970__requests__treq,saleweaver/rapid-rest-client,79aa8970,requests,treq,saleweaver@rapid-rest-client__79aa8970,requests__treq,9,9,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1.0,-1,-1.0,97,0,
