id,repo,commit,source,target,repo_id,lib_pair_id,total_tests,premig_passed_tests,llmmig_has_result,llmmig_passed_tests,llmmig_correctness,llmmig_abs_improvement,llmmig_rel_improvement,merge_skipped_has_result,merge_skipped_passed_tests,merge_skipped_correctness,merge_skipped_abs_improvement,merge_skipped_rel_improvement,async_transform_has_result,async_transform_passed_tests,async_transform_correctness,async_transform_abs_improvement,async_transform_rel_improvement,overall_correctness,best_round,manual_edit_has_result,manual_edit_passed_tests,manual_edit_correctness,manual_edit_abs_improvement,manual_edit_rel_improvement,premig_to_best_migloc,best_to_manual_edit_migloc
github@automatic-contrib-prs__3c357a2e__python-dotenv__environs,github/automatic-contrib-prs,3c357a2e,python-dotenv,environs,github@automatic-contrib-prs__3c357a2e,python-dotenv__environs,22,22,True,18,0.8181818181818182,-1,-1,False,-1,0.8181818181818182,-1,-1.0,False,-1,0.8181818181818182,-1,-1.0,0.8181818181818182,llmmig,,-1,-1,-1,-1,31,0
goranvrbaski@python-namesilo__4c867e65__requests__treq,goranvrbaski/python-namesilo,4c867e65,requests,treq,goranvrbaski@python-namesilo__4c867e65,requests__treq,32,32,True,30,0.9375,-1,-1,False,-1,0.9375,-1,-1.0,False,-1,0.9375,-1,-1.0,0.9375,llmmig,,-1,-1,-1,-1,6,0
paytmmoney@pypmclient__8f966de0__httpx__urllib3,paytmmoney/pypmclient,8f966de0,httpx,urllib3,paytmmoney@pypmclient__8f966de0,httpx__urllib3,116,89,True,67,0.7528089887640449,-1,-1,False,-1,0.7528089887640449,-1,-1.0,False,-1,0.7528089887640449,-1,-1.0,0.7528089887640449,llmmig,,-1,-1,-1,-1,39,0
bellshade@openseries__59b7a6d7__colorama__rich,bellshade/openseries,59b7a6d7,colorama,rich,bellshade@openseries__59b7a6d7,colorama__rich,186,186,True,186,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,9,0
lmcinnes@glasbey__37cd1125__matplotlib__seaborn,lmcinnes/glasbey,37cd1125,matplotlib,seaborn,lmcinnes@glasbey__37cd1125,matplotlib__seaborn,92,92,True,0,0.0,-1,-1,True,0,0.0,0,0.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,6,0
bormando@selenium-tools__52667925__urllib3__requests,bormando/selenium-tools,52667925,urllib3,requests,bormando@selenium-tools__52667925,urllib3__requests,10,9,True,8,0.8888888888888888,-1,-1,False,-1,0.8888888888888888,-1,-1.0,False,-1,0.8888888888888888,-1,-1.0,0.8888888888888888,llmmig,,-1,-1,-1,-1,15,0
getpatchwork@git-pw__02c38bef__requests__httpx,getpatchwork/git-pw,02c38bef,requests,httpx,getpatchwork@git-pw__02c38bef,requests__httpx,84,84,True,84,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,69,0
authomize@connectors-rest-api-client__3fa115d3__requests__urllib3,authomize/connectors-rest-api-client,3fa115d3,requests,urllib3,authomize@connectors-rest-api-client__3fa115d3,requests__urllib3,1,1,True,1,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,47,0
osmlab@maproulette-python-client__a610f25a__requests__requests_futures,osmlab/maproulette-python-client,a610f25a,requests,requests_futures,osmlab@maproulette-python-client__a610f25a,requests__requests_futures,68,68,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,56,0
hwonyo@naver_talk_sdk__bf64ca59__requests__requests_futures,hwonyo/naver_talk_sdk,bf64ca59,requests,requests_futures,hwonyo@naver_talk_sdk__bf64ca59,requests__requests_futures,60,60,True,39,0.65,-1,-1,False,-1,0.65,-1,-1.0,False,-1,0.65,-1,-1.0,0.65,llmmig,,-1,-1,-1,-1,12,0
raphaelauv@fastapi-aiohttp-example__99c2d449__httpx__aiohttp,raphaelauv/fastapi-aiohttp-example,99c2d449,httpx,aiohttp,raphaelauv@fastapi-aiohttp-example__99c2d449,httpx__aiohttp,4,4,True,4,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,5,0
aeroflorian@msteamsadaptivecard__417a13db__requests__aiohttp,aeroflorian/msteamsadaptivecard,417a13db,requests,aiohttp,aeroflorian@msteamsadaptivecard__417a13db,requests__aiohttp,5,5,True,5,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,32,0
segmentio@analytics-python__603632f3__requests__treq,segmentio/analytics-python,603632f3,requests,treq,segmentio@analytics-python__603632f3,requests__treq,79,79,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,39,0
aeroflorian@msteamsadaptivecard__417a13db__requests__pycurl,aeroflorian/msteamsadaptivecard,417a13db,requests,pycurl,aeroflorian@msteamsadaptivecard__417a13db,requests__pycurl,5,5,True,5,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,37,0
avast@ep-stats__95f8d93e__fastapi__sanic,avast/ep-stats,95f8d93e,fastapi,sanic,avast@ep-stats__95f8d93e,fastapi__sanic,147,147,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1,-1,-1,36,0
saleweaver@rapid-rest-client__79aa8970__requests__treq,saleweaver/rapid-rest-client,79aa8970,requests,treq,saleweaver@rapid-rest-client__79aa8970,requests__treq,9,4,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,29,0
saleweaver@rapid-rest-client__79aa8970__requests__pycurl,saleweaver/rapid-rest-client,79aa8970,requests,pycurl,saleweaver@rapid-rest-client__79aa8970,requests__pycurl,9,4,True,2,0.5,-1,-1,False,-1,0.5,-1,-1.0,False,-1,0.5,-1,-1.0,0.5,llmmig,,-1,-1,-1,-1,104,0
jborchma@qtrade__7f89efd9__requests__aiohttp,jborchma/qtrade,7f89efd9,requests,aiohttp,jborchma@qtrade__7f89efd9,requests__aiohttp,18,18,True,3,0.16666666666666666,-1,-1,False,-1,0.16666666666666666,-1,-1.0,True,4,0.2222222222222222,1,0.3333333333333333,0.2222222222222222,async_transform,,-1,-1,-1,-1,278,0
icon-project@icon-sdk-python__50c75a50__requests__pycurl,icon-project/icon-sdk-python,50c75a50,requests,pycurl,icon-project@icon-sdk-python__50c75a50,requests__pycurl,134,130,True,70,0.5384615384615384,-1,-1,False,-1,0.5384615384615384,-1,-1.0,False,-1,0.5384615384615384,-1,-1.0,0.5384615384615384,llmmig,,-1,-1,-1,-1,35,0
medialab@casanova__38b9a281__urllib3__httpx,medialab/casanova,38b9a281,urllib3,httpx,medialab@casanova__38b9a281,urllib3__httpx,131,131,True,131,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,30,0
aeroflorian@msteamsadaptivecard__417a13db__requests__httpx,aeroflorian/msteamsadaptivecard,417a13db,requests,httpx,aeroflorian@msteamsadaptivecard__417a13db,requests__httpx,5,5,True,5,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,6,0
pymike00@tinychat__cade1f91__requests__pycurl,pymike00/tinychat,cade1f91,requests,pycurl,pymike00@tinychat__cade1f91,requests__pycurl,21,21,True,19,0.9047619047619048,-1,-1,False,-1,0.9047619047619048,-1,-1.0,False,-1,0.9047619047619048,-1,-1.0,0.9047619047619048,llmmig,,-1,-1,-1,-1,392,0
josephbarbierdarnal@pyfonts__49bc8432__matplotlib__altair,josephbarbierdarnal/pyfonts,49bc8432,matplotlib,altair,josephbarbierdarnal@pyfonts__49bc8432,matplotlib__altair,31,31,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,100,0
ioggstream@draft-polli-restapi-ld-keywords__f2cb1952__jsonschema__cerberus,ioggstream/draft-polli-restapi-ld-keywords,f2cb1952,jsonschema,cerberus,ioggstream@draft-polli-restapi-ld-keywords__f2cb1952,jsonschema__cerberus,12,12,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,38,0
invinet@python-en16931__5e3a4a6c__requests__aiohttp,invinet/python-en16931,5e3a4a6c,requests,aiohttp,invinet@python-en16931__5e3a4a6c,requests__aiohttp,69,69,True,69,1.0,-1,-1,False,-1,1.0,-1,-1.0,False,-1,1.0,-1,-1.0,1.0,llmmig,,-1,-1,-1,-1,107,0
seamile@jsonfmt__c6f6d17f__pygments__rich,seamile/jsonfmt,c6f6d17f,pygments,rich,seamile@jsonfmt__c6f6d17f,pygments__rich,50,50,True,46,0.92,-1,-1,False,-1,0.92,-1,-1.0,False,-1,0.92,-1,-1.0,0.92,llmmig,,-1,-1,-1,-1,57,0
segmentio@analytics-python__603632f3__requests__aiohttp,segmentio/analytics-python,603632f3,requests,aiohttp,segmentio@analytics-python__603632f3,requests__aiohttp,79,79,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,True,0,0.0,0,0.0,0.0,llmmig,,-1,-1,-1,-1,572,0
texzk@hexrec__a3553b56__click__plac,texzk/hexrec,a3553b56,click,plac,texzk@hexrec__a3553b56,click__plac,1354,1107,True,0,0.0,-1,-1,False,-1,0.0,-1,-1.0,False,-1,0.0,-1,-1.0,0.0,llmmig,,-1,-1,-1,-1,1009,0
