Label,cc id,mig,file,cc,cc status,source APIs,target APIs,source program elements,target program elements,cardinality,properties
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/login.py__1:6__0,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/login.py,1:6__0,pass - auto match,aiohttp,httpx,import,import,not applicable,
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/login.py__33:37-38__1,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/login.py,33:37-38__1,pass - refactoring,request,get;AsyncClient,function call,function call;function call,one-to-many,argument deletion;element name change
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/login.py__37:44-45__2,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/login.py,37:44-45__2,pass - refactoring,request,post;AsyncClient,function call,function call;function call,one-to-many,argument deletion;element name change
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/login.py__34:40-41__3,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/login.py,34:40-41__3,pass - alternative API,json,encoding;json,function call,attribute;function call,one-to-many,argument deletion;async transformation;element name change
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/login.py__38:47-48__4,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/login.py,38:47-48__4,pass - alternative API,json,encoding;json,function call,attribute;function call,one-to-many,argument deletion;async transformation;element name change
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/utils.py__111:111-112__0,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/utils.py,111:111-112__0,pass - auto match,request,get;AsyncClient,function call,function call;function call,one-to-many,argument deletion;element name change
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/utils.py__112:113-114__1,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/utils.py,112:113-114__1,pass - alternative API,json,encoding;json,function call,attribute;function call,one-to-many,argument deletion;async transformation;element name change
"success, Correct",aiohttp__httpx__sk-415/harukabot__0611d16a__src/plugins/haruka_bot/utils.py__11:11__2,aiohttp__httpx__sk-415/harukabot__0611d16a,src/plugins/haruka_bot/utils.py,11:11__2,pass - auto match,aiohttp,httpx,import,import,not applicable,
"success, Correct",argparse__click__ansible-community/molecule__b7d7740d__contrib/convert.py__23:28__0,argparse__click__ansible-community/molecule__b7d7740d,contrib/convert.py,23:28__0,pass - auto match,argparse,click,import,import,not applicable,
"success, Correct",argparse__click__ansible-community/molecule__b7d7740d__contrib/convert.py__37:__1,argparse__click__ansible-community/molecule__b7d7740d,contrib/convert.py,37:__1,pass - correctly removed,ArgumentParser,,function call,,one-to-zero,
"success, Correct",argparse__click__ansible-community/molecule__b7d7740d__contrib/convert.py__38:114__2,argparse__click__ansible-community/molecule__b7d7740d,contrib/convert.py,38:114__2,pass - dev nonrefactoring change,add_argument,argument,function call,decorator,one-to-one,argument addition;element name change
"success, Correct",argparse__click__ansible-community/molecule__b7d7740d__contrib/convert.py__39:__3,argparse__click__ansible-community/molecule__b7d7740d,contrib/convert.py,39:__3,pass - correctly removed,parse_args,,function call,,one-to-zero,
"success, Correct",argparse__click__ansible-community/molecule__b7d7740d__contrib/convert.py__:113__4,argparse__click__ansible-community/molecule__b7d7740d,contrib/convert.py,:113__4,pass - auto match,,command,,decorator,zero-to-one,
"success, Correct",bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py__68:67__0,bottle__flask__cqmoe/python-cqhttp__f9f083ec,cqhttp/__init__.py,68:67__0,pass - auto match,Bottle,Flask,function call,function call,one-to-one,argument addition;element name change
"success, Correct",bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py__69:68__1,bottle__flask__cqmoe/python-cqhttp__f9f083ec,cqhttp/__init__.py,69:68__1,pass - auto match,post,route,function call,function call,one-to-one,argument addition;element name change
"success, Correct",bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py__7:6__2,bottle__flask__cqmoe/python-cqhttp__f9f083ec,cqhttp/__init__.py,7:6__2,pass - alternative API,bottle.Bottle;bottle.request;bottle.abort,flask.Flask;flask.request;flask.abort;flask.jsonify,import,import,not applicable,
"success, Correct",bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py__84:83__3,bottle__flask__cqmoe/python-cqhttp__f9f083ec,cqhttp/__init__.py,84:83__3,pass - alternative API,read,get_data,function call,function call,one-to-one,element name change
"success, Correct",bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py__88:89__4,bottle__flask__cqmoe/python-cqhttp__f9f083ec,cqhttp/__init__.py,88:89__4,pass - auto match,get,get,function call,function call,one-to-one,
"success, Correct",bottle__flask__cqmoe/python-cqhttp__f9f083ec__cqhttp/__init__.py__97:98__5,bottle__flask__cqmoe/python-cqhttp__f9f083ec,cqhttp/__init__.py,97:98__5,pass - auto match,get,get,function call,function call,one-to-one,
